0;;;10;start;go,case_depart
1;0;0;1;property;mediterranean_avenue,boulevard_de_belleville;60;30;2;10;30;90;160;250;50
2;;;10;chest;community_chest,caisse_de_communaute
3;0;1;1;property;baltic_avenue,rue_lecourbe;60;30;4;20;60;180;320;450;50
4;;;10;tax;income_tax,impot_sur_le_revenu;200
5;8;0;9;railroad;reading_railroad,gare_montparnasse;200;100;25
6;1;0;2;property;oriental_avenue,rue_vaugirard;100;50;6;30;90;270;400;550;50
7;;;10;chance;chance,chance
8;1;1;2;property;vermont_avenue,rue_de_courcelles;100;50;6;30;90;270;400;550;50
9;1;2;2;property;connecticut_avenue,avenue_de_la_republique;120;60;8;40;100;300;450;600;50
10;;;10;visiting;visiting,simple_visite|jail,prison
11;2;0;3;property;st._charles_place,boulevard_de_la_villette;140;70;10;50;150;450;625;750;100
12;9;0;9;utility;electric_company,compagnie_de_distribution_d'electricité;150;75;4
13;2;1;3;property;states_avenue,avenue_de_neuilly;140;70;10;50;150;450;625;750;100
14;2;2;3;property;virginia_avenue,rue_de_paradis;160;80;12;60;180;500;700;900;100
15;8;1;9;railroad;pennsylvania_railroad,gare_de_lyon;200;100;25
16;3;0;4;property;st._james_place,avenue_mozart;180;90;14;70;200;550;750;950;100
17;;;10;chest;community_chest,caisse_de_communaute
18;3;1;4;property;tennessee_avenue,boulevard_saint_michel;180;90;14;70;200;550;750;950;100
19;3;2;4;property;new_york_avenue,place_pigalle;200;100;16;80;220;600;800;1000;100
20;;;10;parking;free_parking,parc_gratuit
21;4;0;5;property;kentucky_avenue,avenue_matignon;220;110;18;90;250;700;875;1050;150
22;;;10;chance;chance,chance
23;4;1;5;property;indiana_avenue,boulevard_malesherbes;220;110;18;90;250;700;875;1050;150
24;4;2;5;property;illinois_avenue,avenue_henri_martin;240;120;20;100;300;750;925;1100;150
25;8;2;9;railroad;b._&_o._railroad,gare_du_nord;200;100;25
26;5;0;6;property;atlantic_avenue,faubourg_saint_honoré;260;130;22;110;330;800;975;1150;150
27;5;1;6;property;ventnor_avenue,place_de_la_bourse;260;130;22;110;330;800;975;1150;150
28;9;1;9;utility;water_works,compagnie_de_distribution_des_eaux;150;75;4
29;5;2;6;property;marvin_gardens,rue_de_la_fayette;280;140;24;120;360;850;1025;1200;150
30;;;10;gotojail;go_to_jail,allez_en_prison
31;6;0;7;property;pacific_avenue,avenue_breteil;300;150;26;130;390;900;1100;1275;200
32;6;1;7;property;north_carolina_avenue,avenue_foch;300;150;26;130;390;900;1100;1275;200
33;;;10;chest;community_chest,caisse_de_communaute
34;6;2;7;property;pennsylvania_avenue,boulevard_des_capucines;320;160;28;150;450;1000;1200;1400;200
35;8;3;9;railroad;short_line,gare_saint_lazare;200;100;25
36;;;10;chance;chance,chance
37;7;0;8;property;park_place,avenue_des_champs_elysees;350;175;35;175;500;1100;1300;1500;200
38;;;10;tax;luxury_tax,taxe_de_luxe;100
39;7;1;8;property;boardwalk,rue_de_la_paix;400;200;50;200;600;1400;1700;2000;200
